Times	XFX-Tank-base 3.3	HX-TANK-base2.9	XJ-R1-Ñ¹Á¦	XJ-R2-Ñ¹Á¦	J-PTHC02A_P	J-HCXZ01Z_P	J-PTHC04A_P	J-PTHC05A_P	J-PTHC01A_P							
0:00	4.339999962	3.929999971	2.018674612	4.849658251	23.7860508	24.52351379	23.79459763	24.44651604	23.52462196							
0:05	4.339999962	3.929999971	2.036839962	4.842733145	24.5490284	25.26549339	24.56285095	25.18849564	24.30174446							
0:10	4.339999962	3.929999971	2.06072998	4.830630541	22.68126488	23.4435482	22.70278931	23.35862732	22.4542141							
0:15	4.339999962	3.929999971	2.095350742	4.824416876	23.62716675	24.42485428	23.65136528	24.32879257	23.38921165							
0:20	4.339999962	3.929999971	2.132454634	4.817199707	24.82931709	25.65418243	24.8611412	25.53878212	24.57793045							
0:25	4.340000081	3.929999971	2.158138752	4.814486265	24.04173851	24.85368347	24.08120728	24.72099495	23.82595444							
0:30	4.340000081	3.929999971	2.180864573	4.807353497	23.42584419	24.03308105	23.46536446	23.95062065	23.22398567							
0:35	4.340000081	3.929999971	2.192641973	4.798440218	20.42300606	21.91028404	20.38960457	21.82820511	20.25131226							
0:40	4.340000081	3.969434762	2.208094239	4.802218437	20.33296967	21.3114109	20.17165375	21.24530029	19.96331406							
0:45	4.340000081	4.015491986	2.228992224	4.794115782	20.8164959	21.95166588	20.65998268	21.86107635	20.45083046							
0:50	4.340000081	4.062784457	2.246855974	4.787256241	21.10363197	22.16280365	20.9480896	22.06281281	20.73317909							
0:55	4.340000081	4.109399819	2.264248967	4.78654933	20.88400269	21.9293499	20.7310276	21.78044128	20.52663612							
1:00	4.340000081	4.155898356	2.291271567	4.779341698	23.62226486	24.73903656	23.48167229	24.58520126	23.26721573							
1:05	4.340000081	4.202712083	2.300391793	4.776082039	23.28557777	24.19411087	23.13779068	24.0652771	22.91188431							
1:10	4.378999996	4.249348426	2.305347562	4.769203663	21.13339996	22.06208992	20.97201538	21.99274445	20.7519455							
1:15	4.427895713	4.296538138	2.316409588	4.766744614	21.34527779	22.24699593	21.17998695	22.17447472	20.96858597							
1:20	4.483004379	4.343699956	2.326528788	4.764765978	21.30783272	22.21406746	21.13271332	22.13788605	20.90752792							
1:25	4.530001807	4.390976095	2.345466375	4.75478816	21.9800415	22.94123459	21.80978775	22.86087608	21.58903122							
